model,regime,criterion,n_total,n_valid,parse_rate,qwk,linear_kappa,cohen_kappa,mae,rmse,bias,pearson,spearman,exact_match,adjacent_match,mae_normalized,rmse_normalized,over_max_rate
ensemble,few_shot,Explanation of different types of keys with examples (4),6,6,1.0,0.07692307692307676,0.0,-0.07142857142857162,0.6666666666666666,0.816496580927726,-0.6666666666666666,0.24999999999999992,0.25000000000000006,0.16666666666666666,0.8333333333333334,0.16666666666666666,0.2041241452319315,0.0
ensemble,few_shot,Correct identification of keys in given relation (2),6,6,1.0,0.11560693641618491,0.09302325581395332,0.11111111111111116,0.5416666666666666,0.7288689868556626,0.125,0.15041420939904676,0.01666666666666667,0.3333333333333333,0.8333333333333334,0.2708333333333333,0.3644344934278313,0.0
ensemble,few_shot,Clear and organized writing (2),6,6,1.0,0.256,0.05714285714285705,-0.07142857142857162,0.4583333333333333,0.568257570707744,-0.375,0.44172610429938614,0.4264014327112209,0.16666666666666666,1.0,0.22916666666666666,0.284128785353872,0.0
ensemble,few_shot,Identification of Layers (2 Marks),9,9,1.0,0.0,0.0,0.0,0.3611111111111111,0.5335936864527374,-0.3611111111111111,,,0.4444444444444444,1.0,0.18055555555555555,0.2667968432263687,0.0
ensemble,few_shot,Explanation of Layers with diagram (4 Marks),9,9,1.0,0.5544554455445545,0.39097744360902253,0.18181818181818177,0.5,0.6454972243679028,-0.3888888888888889,0.9271726499455308,0.9211323729436766,0.2222222222222222,0.8888888888888888,0.125,0.1613743060919757,0.0
ensemble,few_shot,Technical Accuracy (2 Marks),9,9,1.0,0.31018935978358886,0.11764705882352933,-0.051948051948051965,0.6944444444444444,0.768295371441074,-0.3055555555555556,0.38466524349342585,0.44986770542121873,0.0,0.8888888888888888,0.3472222222222222,0.384147685720537,0.0
ensemble,few_shot,Examples/Protocols(1 Mark),9,9,1.0,0.26229508196721296,0.19047619047619047,0.16000000000000003,0.4722222222222222,0.5590169943749475,-0.4166666666666667,0.7071067811865476,0.7071067811865476,0.2222222222222222,1.0,0.4722222222222222,0.5590169943749475,0.0
ensemble,few_shot,Clarity & Organization (1 Mark),9,9,1.0,0.21476510067114096,0.13559322033898302,0.0769230769230771,0.4722222222222222,0.5204164998665332,0.3055555555555556,0.4588314677411235,0.4082482904638631,0.1111111111111111,1.0,0.4722222222222222,0.5204164998665332,0.0
ensemble,few_shot,Definition of Quantization,3,3,1.0,0.0,0.0,0.0,0.3333333333333333,0.408248290463863,-0.3333333333333333,,,0.3333333333333333,1.0,0.1333333333333333,0.16329931618554516,0.0
ensemble,few_shot,Purpose of Quantization,3,3,1.0,,,,0.5,0.5,-0.5,,,0.0,1.0,0.19999999999999996,0.19999999999999996,0.0
ensemble,few_shot,Max-Lloyd Algorithm Explanation,3,3,1.0,-0.18604651162790709,-0.10526315789473695,0.0,0.5833333333333334,0.5951190357119042,-0.25,-0.49999999999999994,-0.5000000000000001,0.0,1.0,0.23333333333333336,0.23804761428476168,0.0
ensemble,few_shot,Boundary & Centroid Conditions,3,3,1.0,0.0,0.0,0.0,0.8333333333333334,0.9574271077563381,-0.8333333333333334,,,0.0,0.6666666666666666,0.3333333333333333,0.3829708431025352,0.0
ensemble,few_shot,Importance of Data Mining Marks=(4),8,8,1.0,0.6103448275862069,0.4899328859060402,0.39622641509433965,0.59375,0.9395810236483068,0.09375,0.6773262229406822,0.8233787118994774,0.5,0.75,0.1484375,0.2348952559120767,0.0
ensemble,few_shot,Definition of Data Mining,8,8,1.0,0.75,0.536231884057971,0.2592592592592593,0.5,0.7071067811865476,-0.5,0.8593378488473193,0.8637433829436538,0.375,0.875,0.125,0.1767766952966369,0.0
ensemble,few_shot,Example / Application,13,13,1.0,0.5562998405103668,0.35104669887278583,0.052980132450331285,1.1923076923076923,1.4344658614593473,0.34615384615384615,0.6633528752007011,0.6903184695796681,0.15384615384615385,0.5384615384615384,0.2980769230769231,0.3586164653648368,0.0
ensemble,few_shot,KDD Process Steps,8,8,1.0,0.7676579925650557,0.5515695067264574,0.19999999999999996,0.78125,0.9882117688026185,-0.59375,0.9234383616132902,0.8987170342729173,0.25,0.625,0.1953125,0.24705294220065463,0.0
ensemble,few_shot,Understanding of Concept,10,10,1.0,0.07100591715976334,0.02941176470588236,0.0,0.825,0.9905806378079475,-0.725,0.14157875345490262,0.14231361339296403,0.1,0.8,0.20625,0.24764515945198687,0.0
ensemble,few_shot,Step-by-Step Procedure,10,10,1.0,0.19753086419753085,0.16666666666666663,0.14634146341463405,0.6,0.806225774829855,-0.6,0.35634832254989923,0.29814239699997197,0.3,0.8,0.15,0.20155644370746376,0.0
ensemble,few_shot,Accuracy of Final Answer,10,10,1.0,0.21052631578947367,0.14634146341463417,0.021739130434782483,0.7,0.8660254037844386,0.3,0.23312620206007847,0.0,0.1,0.9,0.175,0.21650635094610965,0.0
ensemble,few_shot,Clarity & Presentation,10,10,1.0,-0.05900948366701786,-0.02777777777777768,0.021739130434782483,0.925,1.1208255885729947,-0.775,-0.12280701754385967,-0.15961435280880898,0.1,0.6,0.23125,0.2802063971432487,0.0
ensemble,few_shot,Supervised Learning,9,9,1.0,0.0,0.0,0.0,0.3333333333333333,0.408248290463863,-0.3333333333333333,,,0.3333333333333333,1.0,0.1333333333333333,0.16329931618554516,0.0
ensemble,few_shot,Unsupervised Learning,9,9,1.0,0.0,0.0,0.0,0.3333333333333333,0.408248290463863,-0.3333333333333333,,,0.3333333333333333,1.0,0.1333333333333333,0.16329931618554516,0.0
ensemble,few_shot,Reinforcement Learning,9,9,1.0,0.7337278106508875,0.38235294117647045,-0.050000000000000044,0.3888888888888889,0.45643546458763845,-0.2222222222222222,0.9640541410352403,0.7144345083117604,0.2222222222222222,1.0,0.15555555555555556,0.18257418583505533,0.0
ensemble,few_shot,"Example, Overall Clarity & Structure",9,9,1.0,0.11378555798687084,0.049689440993788914,0.03076923076923077,0.4722222222222222,0.5590169943749475,0.25,0.47918635750341565,0.4938784559013885,0.2222222222222222,1.0,0.1888888888888889,0.223606797749979,0.0
ensemble,few_shot,Definition of Method Overloading,5,5,1.0,-0.024096385542168752,-0.05263157894736836,-0.0869565217391306,1.6,1.8439088914585775,1.2,-0.14744195615489714,0.0,0.0,0.4,0.4,0.4609772228646444,0.0
ensemble,few_shot,Definition of Method Overriding,5,5,1.0,-0.022408963585434094,-0.020942408376963373,-0.13636363636363624,1.95,2.1360009363293826,1.85,-0.25,-0.3952847075210474,0.0,0.2,0.4875,0.5340002340823456,0.0
ensemble,few_shot,Comparision,5,5,1.0,0.29875518672199175,0.15094339622641506,-0.04166666666666674,1.35,1.4534441853748632,-0.65,0.6663924874789787,0.5735393346764044,0.0,0.4,0.3375,0.3633610463437158,0.0
ensemble,full,Concept of Histogram Equalization,4,4,1.0,0.41666666666666663,0.16666666666666663,-0.06666666666666665,0.625,0.6614378277661477,0.125,0.870388279778489,0.8164965809277261,0.0,1.0,0.15625,0.16535945694153692,0.0
ensemble,full,Necessity of Histogram Equalization,4,4,1.0,0.0,0.0,0.0,0.5,0.7071067811865476,0.5,,,0.5,1.0,0.125,0.1767766952966369,0.0
ensemble,full,Concept of Histogram Matching,4,4,1.0,0.41666666666666663,0.16666666666666663,-0.06666666666666665,0.625,0.6614378277661477,0.125,0.870388279778489,0.8164965809277261,0.0,1.0,0.15625,0.16535945694153692,0.0
ensemble,full,Necessity of Histogram Matching,4,4,1.0,0.2857142857142857,0.25,0.19999999999999996,0.375,0.5590169943749475,0.375,0.5773502691896256,0.5773502691896257,0.5,1.0,0.09375,0.13975424859373686,0.0
ensemble,full,Defintion of climate and weather,6,6,1.0,,,,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0
ensemble,full,Name of the climate variables,6,6,1.0,0.0,0.0,0.0,0.3333333333333333,0.816496580927726,0.3333333333333333,,,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.408248290463863,0.0
ensemble,full,Hemato-biochemical changes in rohu due to an increase of temparature,6,6,1.0,0.0,0.0,0.0,0.08333333333333333,0.2041241452319315,0.08333333333333333,,,0.8333333333333334,1.0,0.041666666666666664,0.10206207261596575,0.0
ensemble,full,Importance of R² and Variability (eg. 0.85 or 85%) explained by the model,2,2,1.0,0.0,0.0,0.0,0.75,0.7905694150420949,-0.75,,,0.0,1.0,0.24999999999999997,0.2635231383473649,0.0
ensemble,full,"Mathematical Expression & Interpretation and Evaluate model performance by               R² ≈ 1 → very good fit 
R² ≈ 0 → poor fit 
R²<0 → model is worse than just using the mean",2,2,1.0,,,,0.25,0.25,0.25,,,0.0,1.0,0.08333333333333333,0.08333333333333333,0.0
ensemble,full,Critical Insight (Limitations / Adjusted R²) and higher R² strengthens confidence,2,2,1.0,0.0,0.0,0.0,0.25,0.3535533905932738,0.25,,,0.5,1.0,0.08333333333333333,0.11785113019775792,0.0
ensemble,full,Enables comparison between models and overfitting issues,2,2,1.0,0.0,0.0,0.0,0.125,0.1767766952966369,0.125,,,0.5,1.0,0.04166666666666667,0.05892556509887897,0.0
ensemble,full,Understanding of normalization and related problems(3),10,10,1.0,0.6122448979591837,0.34782608695652173,-0.020408163265306145,0.45,0.48733971724044817,-0.25,0.7654655446197431,0.8056094727078102,0.0,1.0,0.15,0.16244657241348273,0.0
ensemble,full,Explanation of normal forms(3),10,10,1.0,0.8426812585499316,0.6451612903225806,0.25531914893617014,0.275,0.3791437722025775,-0.125,0.918343889536382,0.9424819839382049,0.3,1.0,0.09166666666666666,0.12638125740085918,0.0
ensemble,full,Use of example(2),10,10,1.0,0.4948755490483162,0.2721518987341772,0.021739130434782483,0.575,0.6566962768281849,-0.225,0.6299964608155105,0.6884124833031147,0.1,0.9,0.2875,0.32834813841409244,0.0
ensemble,full,Clear and organized writing(2),10,10,1.0,0.45633802816901403,0.23333333333333328,0.032258064516129115,0.22999999523162842,0.3106444867352023,0.12000000476837158,0.6632218632100646,0.510527470242631,0.4,1.0,0.11499999761581421,0.15532224336760114,0.0
ensemble,full,Understanding of schema and instance (2),6,6,1.0,0.18181818181818177,0.14285714285714268,0.09999999999999987,0.3333333333333333,0.5,-0.16666666666666666,0.24999999999999994,0.25000000000000006,0.5,1.0,0.16666666666666666,0.25,0.0
ensemble,full,Explanation of different types of keys with examples (4),6,6,1.0,0.0,0.0,0.0,0.3333333333333333,0.5773502691896257,-0.3333333333333333,,,0.6666666666666666,1.0,0.08333333333333333,0.14433756729740643,0.0
ensemble,full,Correct identification of keys in given relation (2),6,6,1.0,0.3999999999999999,0.18181818181818177,0.0,0.5,0.5773502691896257,0.16666666666666666,0.6859943405700352,0.6708203932499369,0.16666666666666666,1.0,0.25,0.28867513459481287,0.0
ensemble,full,Clear and organized writing (2),6,6,1.0,0.0,0.0,0.0,0.3333333333333333,0.5773502691896257,-0.3333333333333333,,,0.6666666666666666,1.0,0.16666666666666666,0.28867513459481287,0.0
ensemble,full,Identification of Layers (2 Marks),9,9,1.0,,,,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0
ensemble,full,Explanation of Layers with diagram (4 Marks),9,9,1.0,0.32432432432432434,0.1333333333333333,-0.016129032258064502,0.7222222222222222,0.8333333333333334,-0.5,0.6123724356957945,0.6030226891555273,0.2222222222222222,1.0,0.18055555555555555,0.20833333333333334,0.0
ensemble,full,Technical Accuracy (2 Marks),9,9,1.0,0.4457478005865103,0.37209302325581395,0.18181818181818177,0.5833333333333334,0.8539125638299665,-0.25,0.47217539616447934,0.38903901006370994,0.3333333333333333,0.8888888888888888,0.2916666666666667,0.42695628191498325,0.0
ensemble,full,Examples/Protocols(1 Mark),9,9,1.0,0.8571428571428572,0.75,0.6,0.1111111111111111,0.23570226039551584,0.0,0.8660254037844387,0.8586296628693791,0.7777777777777778,1.0,0.1111111111111111,0.23570226039551584,0.0
ensemble,full,Clarity & Organization (1 Mark),9,9,1.0,0.8571428571428572,0.75,0.6,0.1111111111111111,0.23570226039551584,0.0,0.8660254037844384,0.8586296628693791,0.7777777777777778,1.0,0.1111111111111111,0.23570226039551584,0.0
ensemble,full,Definition of Quantization,3,3,1.0,0.0,0.0,0.0,0.16666666666666666,0.28867513459481287,0.16666666666666666,,,0.6666666666666666,1.0,0.06666666666666665,0.11547005383792512,0.0
ensemble,full,Purpose of Quantization,3,3,1.0,,,,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0
ensemble,full,Max-Lloyd Algorithm Explanation,3,3,1.0,0.0,0.0,0.0,0.3333333333333333,0.5773502691896257,0.3333333333333333,,,0.6666666666666666,1.0,0.13333333333333333,0.23094010767585033,0.0
ensemble,full,Boundary & Centroid Conditions,3,3,1.0,0.0,0.0,0.0,0.6666666666666666,0.816496580927726,0.6666666666666666,,,0.3333333333333333,1.0,0.26666666666666666,0.32659863237109044,0.0
ensemble,full,Importance of Data Mining Marks=(4),8,8,1.0,0.6772908366533865,0.45833333333333337,0.11111111111111116,0.8125,1.125,0.25,0.6979415720330409,0.538638634844706,0.25,0.75,0.203125,0.28125,0.0
ensemble,full,Definition of Data Mining,8,8,1.0,0.8088235294117647,0.5942028985507246,0.2727272727272727,0.4375,0.6373774391990981,-0.1875,0.8268106308031116,0.7833891945495459,0.375,0.875,0.109375,0.15934435979977452,0.0
ensemble,full,Example / Application,13,13,1.0,0.7023136858383394,0.6323907455012854,0.4693877551020408,0.6346153846153846,1.3605004735249226,0.057692307692307696,0.706010978931749,0.7530198221680942,0.6923076923076923,0.8461538461538461,0.15865384615384615,0.34012511838123066,0.0
ensemble,full,KDD Process Steps,8,8,1.0,0.8417366946778712,0.7030567685589519,0.5,0.53125,0.9395810236483068,0.28125,0.8538577270926107,0.8945302703857816,0.625,0.875,0.1328125,0.2348952559120767,0.0
ensemble,full,Understanding of Concept,10,10,1.0,0.3529411764705882,0.30000000000000004,0.23076923076923073,0.35,0.5244044240850758,0.35,0.6546536707079771,0.6546536707079771,0.5,1.0,0.0875,0.13110110602126895,0.0
ensemble,full,Step-by-Step Procedure,10,10,1.0,0.15094339622641506,0.13793103448275867,0.11764705882352944,0.5,0.6708203932499369,0.5,0.4082482904638631,0.408248290463863,0.4,1.0,0.125,0.16770509831248423,0.0
ensemble,full,Accuracy of Final Answer,10,10,1.0,0.0,0.0,0.0,0.4,0.6324555320336759,0.0,,,0.6,1.0,0.1,0.15811388300841897,0.0
ensemble,full,Clarity & Presentation,10,10,1.0,0.19753086419753085,0.16666666666666663,0.13043478260869557,0.35,0.570087712549569,-0.15,0.4444444444444445,0.46481112585226414,0.6,1.0,0.0875,0.14252192813739226,0.0
ensemble,full,Supervised Learning,9,9,1.0,0.0,0.0,0.0,0.16666666666666666,0.28867513459481287,0.16666666666666666,,,0.6666666666666666,1.0,0.06666666666666665,0.11547005383792512,0.0
ensemble,full,Unsupervised Learning,9,9,1.0,0.0,0.0,0.0,0.16666666666666666,0.28867513459481287,0.16666666666666666,,,0.6666666666666666,1.0,0.06666666666666665,0.11547005383792512,0.0
ensemble,full,Reinforcement Learning,9,9,1.0,0.8457142857142856,0.5524861878453038,0.12195121951219512,0.25,0.3818813079129867,0.25,0.9540646527893838,0.6123724356957946,0.5555555555555556,1.0,0.09999999999999999,0.15275252316519464,0.0
ensemble,full,"Example, Overall Clarity & Structure",9,9,1.0,0.059701492537313494,-0.05319148936170226,-0.10769230769230775,0.6111111111111112,0.6972166887783963,0.3333333333333333,0.08294258047937,0.039823008849557515,0.1111111111111111,1.0,0.24444444444444446,0.27888667551135854,0.0
ensemble,full,Definition of Method Overloading,5,5,1.0,0.161849710982659,0.0,-0.19047619047619047,2.2,2.4083189157584592,2.2,0.8427009716003844,0.9128709291752769,0.0,0.4,0.55,0.6020797289396148,0.0
ensemble,full,Definition of Method Overriding,5,5,1.0,0.0,0.0,0.0,3.0,3.1937438845342623,3.0,0.0,0.0,0.0,0.2,0.75,0.7984359711335656,0.0
ensemble,full,Comparision,5,5,1.0,0.1407624633431085,0.12698412698412698,0.0,1.65,1.9137659209004638,-1.15,0.2635231383473649,0.0,0.0,0.2,0.4125,0.47844148022511596,0.0
ensemble,lora,Concept of Histogram Equalization,4,4,1.0,-0.16666666666666674,-0.16666666666666674,-0.19999999999999996,0.875,1.14564392373896,0.625,-0.5222329678670934,-0.5443310539518174,0.25,0.75,0.21875,0.28641098093474,0.0
ensemble,lora,Necessity of Histogram Equalization,4,4,1.0,0.8571428571428572,0.75,0.6,0.125,0.25,-0.125,0.9045340337332909,0.9428090415820634,0.75,1.0,0.03125,0.0625,0.0
ensemble,lora,Concept of Histogram Matching,4,4,1.0,0.4285714285714286,0.33333333333333337,0.2727272727272727,0.5,0.7071067811865476,0.0,0.5222329678670934,0.5443310539518174,0.5,1.0,0.125,0.1767766952966369,0.0
ensemble,lora,Necessity of Histogram Matching,4,4,1.0,0.8571428571428572,0.75,0.6,0.125,0.25,-0.125,0.9045340337332909,0.9428090415820634,0.75,1.0,0.03125,0.0625,0.0
ensemble,lora,Defintion of climate and weather,6,6,1.0,,,,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0
ensemble,lora,Name of the climate variables,6,6,1.0,0.2139037433155081,0.1923076923076924,0.4545454545454546,0.2916666666666667,0.7144345083117603,0.2916666666666667,0.9999999999999996,1.0,0.8333333333333334,0.8333333333333334,0.14583333333333334,0.3572172541558801,0.0
ensemble,lora,Hemato-biochemical changes in rohu due to an increase of temparature,6,6,1.0,0.0,0.0,0.0,0.08333333333333333,0.2041241452319315,0.08333333333333333,,,0.8333333333333334,1.0,0.041666666666666664,0.10206207261596575,0.0
ensemble,lora,Importance of R² and Variability (eg. 0.85 or 85%) explained by the model,2,2,1.0,,,,1.0,1.0,-1.0,,,0.0,1.0,0.3333333333333333,0.3333333333333333,0.0
ensemble,lora,"Mathematical Expression & Interpretation and Evaluate model performance by               R² ≈ 1 → very good fit 
R² ≈ 0 → poor fit 
R²<0 → model is worse than just using the mean",2,2,1.0,0.0,0.0,0.0,0.25,0.3535533905932738,0.25,,,0.5,1.0,0.08333333333333333,0.11785113019775792,0.0
ensemble,lora,Critical Insight (Limitations / Adjusted R²) and higher R² strengthens confidence,2,2,1.0,0.6666666666666667,0.5,0.33333333333333337,0.125,0.1767766952966369,0.125,1.0,0.9999999999999999,0.5,1.0,0.041666666666666664,0.05892556509887896,0.0
ensemble,lora,Enables comparison between models and overfitting issues,2,2,1.0,,,,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0
ensemble,lora,Understanding of normalization and related problems(3),10,10,1.0,0.6732673267326732,0.43609022556390975,0.13043478260869557,0.375,0.45414755311462374,-0.125,0.7235680511449364,0.7149844964673565,0.2,1.0,0.125,0.15138251770487457,0.0
ensemble,lora,Explanation of normal forms(3),10,10,1.0,0.8621553884711779,0.6596858638743455,0.23076923076923084,0.325,0.45414755311462374,-0.325,0.9347028551069878,0.938115725992925,0.4,1.0,0.10833333333333332,0.1513825177048746,0.0
ensemble,lora,Use of example(2),10,10,1.0,0.8920863309352518,0.6835443037974683,0.2682926829268292,0.25,0.33541019662496846,-0.15,0.934791400522852,0.8881824274660759,0.4,1.0,0.125,0.16770509831248423,0.0
ensemble,lora,Clear and organized writing(2),10,10,1.0,0.3728362183754993,0.2816901408450704,0.22077922077922074,0.2549999952316284,0.34314719109267305,-0.1549999952316284,0.5667505295285808,0.6527162480791983,0.4,1.0,0.1274999976158142,0.17157359554633653,0.0
ensemble,lora,Understanding of schema and instance (2),6,6,1.0,0.18181818181818177,0.14285714285714268,0.09999999999999987,0.3333333333333333,0.5,-0.16666666666666666,0.24999999999999994,0.25000000000000006,0.5,1.0,0.16666666666666666,0.25,0.0
ensemble,lora,Explanation of different types of keys with examples (4),6,6,1.0,0.37209302325581406,0.21052631578947367,0.09999999999999987,0.4166666666666667,0.6123724356957945,-0.4166666666666667,0.5252257314388904,0.6123724356957945,0.5,1.0,0.10416666666666667,0.15309310892394862,0.0
ensemble,lora,Correct identification of keys in given relation (2),6,6,1.0,0.6865671641791045,0.4642857142857143,0.19999999999999996,0.4166666666666667,0.5400617248673217,0.4166666666666667,0.8711871219403559,0.8333333333333335,0.3333333333333333,1.0,0.20833333333333334,0.27003086243366087,0.0
ensemble,lora,Clear and organized writing (2),6,6,1.0,0.0,0.0,0.0,0.3333333333333333,0.5773502691896257,-0.3333333333333333,,,0.6666666666666666,1.0,0.16666666666666666,0.28867513459481287,0.0
ensemble,lora,Identification of Layers (2 Marks),9,9,1.0,,,,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0
ensemble,lora,Explanation of Layers with diagram (4 Marks),9,9,1.0,0.6274509803921569,0.4635761589403973,0.2622950819672132,0.5,0.7264831572567789,-0.5,0.7698003589195008,0.743630284721125,0.4444444444444444,0.8888888888888888,0.125,0.18162078931419473,0.0
ensemble,lora,Technical Accuracy (2 Marks),9,9,1.0,0.4338394793926248,0.3612903225806452,0.2622950819672132,0.6111111111111112,0.8975274678557507,-0.3888888888888889,0.4906679199867872,0.47569599145533725,0.4444444444444444,0.8888888888888888,0.3055555555555556,0.44876373392787533,0.0
ensemble,lora,Examples/Protocols(1 Mark),9,9,1.0,0.4255319148936171,0.4,0.3571428571428571,0.2777777777777778,0.5,-0.05555555555555555,0.4287464628562721,0.4082482904638631,0.6666666666666666,1.0,0.2777777777777778,0.5,0.0
ensemble,lora,Clarity & Organization (1 Mark),9,9,1.0,0.3076923076923077,0.3076923076923076,0.3076923076923076,0.3333333333333333,0.5773502691896257,0.1111111111111111,0.3162277660168379,0.31622776601683794,0.6666666666666666,1.0,0.3333333333333333,0.5773502691896257,0.0
ensemble,lora,Definition of Quantization,3,3,1.0,0.0,0.0,0.0,0.16666666666666666,0.28867513459481287,0.16666666666666666,,,0.6666666666666666,1.0,0.06666666666666665,0.11547005383792512,0.0
ensemble,lora,Purpose of Quantization,3,3,1.0,,,,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0
ensemble,lora,Max-Lloyd Algorithm Explanation,3,3,1.0,0.0,0.0,0.0,0.3333333333333333,0.5773502691896257,0.3333333333333333,,,0.6666666666666666,1.0,0.13333333333333333,0.23094010767585033,0.0
ensemble,lora,Boundary & Centroid Conditions,3,3,1.0,0.0,0.0,0.0,0.6666666666666666,0.816496580927726,0.6666666666666666,,,0.3333333333333333,1.0,0.26666666666666666,0.32659863237109044,0.0
ensemble,lora,Importance of Data Mining Marks=(4),8,8,1.0,0.71875,0.5102040816326531,0.11111111111111116,0.75,1.0606601717798212,0.375,0.7554191132592915,0.608033510325768,0.25,0.875,0.1875,0.2651650429449553,0.0
ensemble,lora,Definition of Data Mining,8,8,1.0,0.717948717948718,0.5555555555555556,0.3191489361702128,0.5,0.82915619758885,-0.25,0.7537346628814316,0.6360650553039009,0.5,0.875,0.125,0.2072890493972125,0.0
ensemble,lora,Example / Application,13,13,1.0,0.7169833111970896,0.6885536823425022,0.6578947368421053,0.5192307692307693,1.346291201783626,-0.09615384615384616,0.719585361746777,0.7131373043214152,0.8461538461538461,0.8461538461538461,0.12980769230769232,0.3365728004459065,0.0
ensemble,lora,KDD Process Steps,8,8,1.0,0.9031339031339032,0.7565217391304347,0.5,0.4375,0.7288689868556626,0.1875,0.9089664121050052,0.8945302703857816,0.625,0.875,0.109375,0.18221724671391565,0.0
ensemble,lora,Understanding of Concept,10,10,1.0,0.11764705882352944,0.09999999999999998,0.07692307692307687,0.45,0.6123724356957945,0.35,0.21821789023599242,0.2182178902359924,0.4,1.0,0.1125,0.15309310892394862,0.0
ensemble,lora,Step-by-Step Procedure,10,10,1.0,0.2666666666666667,0.2222222222222222,0.16666666666666663,0.35,0.5244044240850758,-0.15,0.3042903097250923,0.24397501823713327,0.5,1.0,0.0875,0.13110110602126895,0.0
ensemble,lora,Accuracy of Final Answer,10,10,1.0,0.0,0.0,0.0,0.4,0.6324555320336759,0.0,,,0.6,1.0,0.1,0.15811388300841897,0.0
ensemble,lora,Clarity & Presentation,10,10,1.0,0.19753086419753085,0.16666666666666663,0.13043478260869557,0.35,0.570087712549569,-0.15,0.4444444444444445,0.46481112585226414,0.6,1.0,0.0875,0.14252192813739226,0.0
ensemble,lora,Supervised Learning,9,9,1.0,-0.3076923076923077,-0.2857142857142858,-0.25,0.25,0.3435921354681384,0.08333333333333333,-0.35355339059327384,-0.375,0.4444444444444444,1.0,0.09999999999999998,0.13743685418725532,0.0
ensemble,lora,Unsupervised Learning,9,9,1.0,0.0,0.0,0.0,0.16666666666666666,0.28867513459481287,0.16666666666666666,,,0.6666666666666666,1.0,0.06666666666666665,0.11547005383792512,0.0
ensemble,lora,Reinforcement Learning,9,9,1.0,0.8652246256239601,0.6043956043956045,0.21739130434782605,0.2222222222222222,0.3535533905932738,0.2222222222222222,0.9651632363281055,0.7144345083117604,0.5555555555555556,1.0,0.08888888888888886,0.14142135623730948,0.0
ensemble,lora,"Example, Overall Clarity & Structure",9,9,1.0,0.051118210862619806,-0.10000000000000009,-0.265625,0.6111111111111112,0.67700320038633,0.2222222222222222,0.05988184990466963,0.05286394907921325,0.0,1.0,0.24444444444444446,0.27080128015453203,0.0
ensemble,lora,Definition of Method Overloading,5,5,1.0,0.14141414141414144,0.10256410256410253,0.11764705882352944,1.4,1.8439088914585775,1.4,0.51604684654214,0.5590169943749475,0.4,0.4,0.35,0.4609772228646444,0.0
ensemble,lora,Definition of Method Overriding,5,5,1.0,0.07339449541284404,0.0,-0.19047619047619047,2.1,2.247220505424423,2.1,1.0,1.0,0.0,0.2,0.525,0.5618051263561058,0.0
ensemble,lora,Comparision,5,5,1.0,0.05540166204986152,0.07407407407407407,0.09090909090909094,2.5,2.9197602641312868,-2.5,0.2635231383473649,0.0,0.2,0.2,0.625,0.7299400660328217,0.0
ensemble,zero_shot,Concept of Histogram Equalization,4,4,1.0,0.0,0.0,0.0,0.75,1.118033988749895,0.75,,,0.5,0.75,0.1875,0.2795084971874737,0.0
ensemble,zero_shot,Necessity of Histogram Equalization,4,4,1.0,0.0,0.0,0.0,1.5,1.5811388300841898,1.5,,,0.0,0.5,0.375,0.39528470752104744,0.0
ensemble,zero_shot,Concept of Histogram Matching,4,4,1.0,0.2777777777777778,0.16666666666666663,0.19999999999999996,0.625,0.9013878188659973,0.625,0.870388279778489,0.8164965809277261,0.5,0.75,0.15625,0.22534695471649932,0.0
ensemble,zero_shot,Necessity of Histogram Matching,4,4,1.0,0.05714285714285716,0.0,0.0,1.375,1.4361406616345072,1.375,0.5773502691896256,0.5773502691896257,0.0,0.5,0.34375,0.3590351654086268,0.0
ensemble,zero_shot,Defintion of climate and weather,6,6,1.0,0.0,0.0,0.0,0.5416666666666666,0.5496210815947049,-0.5416666666666666,,,0.0,1.0,0.2708333333333333,0.27481054079735245,0.0
ensemble,zero_shot,Name of the climate variables,6,6,1.0,0.0,0.0,0.0,0.6666666666666666,0.7637626158259734,-0.16666666666666666,,,0.0,0.8333333333333334,0.3333333333333333,0.3818813079129867,0.0
ensemble,zero_shot,Hemato-biochemical changes in rohu due to an increase of temparature,6,6,1.0,-0.125,-0.09090909090909083,-0.05882352941176472,0.3333333333333333,0.3535533905932738,-0.25,-0.316227766016838,-0.316227766016838,0.0,1.0,0.16666666666666666,0.1767766952966369,0.0
ensemble,zero_shot,Importance of R² and Variability (eg. 0.85 or 85%) explained by the model,2,2,1.0,0.0,0.0,0.0,0.75,0.7905694150420949,-0.75,,,0.0,1.0,0.24999999999999997,0.2635231383473649,0.0
ensemble,zero_shot,"Mathematical Expression & Interpretation and Evaluate model performance by               R² ≈ 1 → very good fit 
R² ≈ 0 → poor fit 
R²<0 → model is worse than just using the mean",2,2,1.0,,,,1.5,1.5,1.5,,,0.0,0.0,0.5,0.5,0.0
